CBSA_NAME,SITE_ID,SITE_NAME,SITE_LATITUDE,SITE_LONGITUDE,DATE,PM2.5,AQI_PM2.5,CO,AQI_CO,NO2,AQI_NO2
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/1/2023,11.4,48,0.2,2,28,26
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/2/2023,12.5,52,0.2,2,14,13
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/2/2023,14.3,56,0.2,2,14,13
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/3/2023,18.8,65,0.1,1,7,7
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/4/2023,16.4,60,0.1,1,1,1
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/5/2023,24.2,76,0.3,3,26,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/5/2023,31.2,91,0.3,3,26,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/6/2023,39.8,112,0.4,5,27,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/7/2023,51.4,140,0.1,1,7,7
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/8/2023,27.8,84,0.1,1,27,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/8/2023,41.8,117,0.1,1,27,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/9/2023,33.3,96,0.2,2,23,22
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/10/2023,25.5,79,0.3,3,25,24
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/11/2023,19.7,67,0.3,3,19,18
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/11/2023,22.8,74,0.3,3,19,18
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/12/2023,8.4,35,0.1,1,17,16
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/13/2023,11.9,50,0.1,1,17,16
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/14/2023,5,21,0.1,1,17,16
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/14/2023,6.6,28,0.1,1,17,16
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/15/2023,15.6,58,0.2,2,18,17
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/16/2023,23,74,0.2,2,11,10
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/17/2023,31.5,92,0.3,3,23,22
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/17/2023,40.6,114,0.3,3,23,22
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/18/2023,36.3,103,0.5,6,27,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/19/2023,25.7,80,0.2,2,23,22
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/20/2023,12.4,52,0.2,2,16,15
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/20/2023,13.4,54,0.2,2,16,15
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/21/2023,17.5,62,0.1,1,11,10
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/22/2023,5.2,22,0.1,1,12,11
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/23/2023,3.9,16,0,0,2,2
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/23/2023,4.6,19,0,0,2,2
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/24/2023,5.6,23,0.1,1,17,16
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/25/2023,15.3,58,0.3,3,11,10
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/26/2023,7,29,0.1,1,11,10
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/26/2023,7.7,32,0.1,1,11,10
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/27/2023,70.4,159,0.7,8,4,4
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/28/2023,134.9,192,1.1,13,13,12
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/29/2023,83.2,165,1.1,13,25,24
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/29/2023,100.5,174,1.1,13,25,24
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/30/2023,11.5,48,0.3,3,15,14
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/1/2023,8.7,36,0.2,2,9,8
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/2/2023,6.1,25,0.1,1,7,7
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/2/2023,5.8,24,0.1,1,7,7
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/3/2023,5.2,22,0.1,1,10,9
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/4/2023,16.5,60,0.3,3,22,21
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/5/2023,24,76,0.4,5,18,17
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/6/2023,9.2,38,0.2,2,16,15
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/7/2023,7.9,33,0.1,1,7,7
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/8/2023,7.8,33,0.2,2,13,12
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/9/2023,6,25,0.1,1,20,19
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/10/2023,8.8,37,0.2,2,21,20
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/11/2023,10.7,45,0.2,2,19,18
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/12/2023,10.7,45,0.2,2,19,18
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/13/2023,6.4,27,0.1,1,12,11
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/13/2023,5.5,23,0.1,1,12,11
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/14/2023,6,25,0.1,1,19,18
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/14/2023,4.8,20,0.1,1,19,18
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/15/2023,8.5,35,0.2,2,17,16
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/15/2023,6.8,28,0.2,2,17,16
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/16/2023,26.6,81,0.3,3,9,8
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/17/2023,46.4,128,0.4,5,17,16
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/17/2023,51.1,139,0.4,5,17,16
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/18/2023,20.9,70,0.3,3,18,17
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/19/2023,16.5,60,0.2,2,28,26
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/20/2023,9.5,40,0.2,2,11,10
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/20/2023,8.5,35,0.2,2,11,10
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/21/2023,5.7,24,0.1,1,6,6
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/22/2023,9.3,39,0.1,1,15,14
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/23/2023,11.3,47,0.4,5,12,11
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/23/2023,10.5,44,0.4,5,12,11
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/24/2023,10.7,45,0.3,3,18,17
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/25/2023,20.5,69,0.4,5,21,20
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/26/2023,20.8,69,0.4,5,20,19
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/26/2023,19.2,66,0.4,5,20,19
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/27/2023,14.7,56,0.3,3,15,14
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/28/2023,6.9,29,0.2,2,17,16
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/29/2023,4.4,18,0.2,2,9,8
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/30/2023,5.6,23,0.1,1,3,3
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/31/2023,5.3,22,0.1,1,9,8
